ne;tipo;Observação;A pagar; Cancelado; Inscritos; Pago
070023000012018NE000176;INDENIZACOES;NAO SE APLICA;109242,36;NA;109242,36;NA
070023000012018NE000176;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE000176;INDENIZACOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA TENDO EM VISTA NAO HAVER MAIS PAGAMENTOA SER EMPLEMENTADO.;-109242,36;109242,36;NA;NA
070023000012018NE000176;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE000176;INDENIZACOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA TENDO EM VISTA NAO HAVER MAIS PAGAMENTOA SER EMPLEMENTADO.;0;0;NA;NA
070023000012018NE001026;DIARIAS NO PAIS;NAO SE APLICA;337,28;NA;337,28;NA
070023000012018NE001026;DIARIAS NO PAIS;NAO SE APLICA;0;NA;0;NA
070023000012018NE001026;DIARIAS NO PAIS;NAO SE APLICA;0;NA;0;NA
070023000012018NE000876;INDENIZACOES;NAO SE APLICA;22257,96;NA;22257,96;NA
070023000012018NE000876;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE000876;INDENIZACOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;-22257,96;22257,96;NA;NA
070023000012018NE000876;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE000876;INDENIZACOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;0;0;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;NAO SE APLICA;151001,17;NA;151001,17;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;NAO SE APLICA;0;NA;0;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR ADRIANA DA SILVA LIMA SANTOS AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 703/2019;0;NA;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR ADRIANA DA SILVA LIMA SANTOS AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 7032019;-175,21;NA;NA;175,21
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR BENVINA AMORIM AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 2319/2017;-211,59;NA;NA;211,59
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR CLAUDIO HENRIQUE P. DA SILVA AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 5334/2017;-157,76;NA;NA;157,76
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR GISELLY CIRILO RABELO AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 75182019;-243,67;NA;NA;243,67
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR GISELLY CIRILO RABELO AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 75182019.;0;NA;NA;NA
